"Jahr","Monat","Gemeinde","Betriebe","Zimmer","Betten","Ankünfte","Logiernächte","Zimmernächte","Zimmerauslastung in %","Bettenauslastung in %"
"2024","Januar","Gonten",5,70,150,698,1502,1028,48,33
"2024","Januar","St. Gallen",23,1106,2057,8767,17057,12271,36,27
"2024","Januar","Rorschacherberg",3,104,188,723,1157,818,28,22
"2024","Januar","Altstätten",4,81,148,355,735,627,28,18
"2024","Januar","Buchs (SG)",6,165,295,1068,1950,1452,28,21
"2024","Januar","Bad Ragaz",13,505,1040,4947,13331,8701,56,42
"2024","Januar","Flums",6,107,214,1594,3390,1841,57,53
"2024","Januar","Quarten",10,231,554,2556,5611,2669,39,34
"2024","Januar","Walenstadt",3,46,85,195,685,403,44,39
"2024","Januar","Amden",6,89,198,672,1189,678,27,21
"2024","Januar","Rapperswil-Jona",6,195,364,1427,2737,2545,42,24
"2024","Januar","Eschenbach (SG)",4,22,42,28,71,45,9,7
"2024","Januar","Wildhaus-Alt St. Johann",20,475,1072,4304,9148,5130,35,28
"2024","Januar","Neckertal",7,115,212,385,1025,560,21,22
"2024","Januar","Uzwil",7,145,289,884,2732,2228,50,30
"2024","Januar","Wil (SG)",3,113,216,1114,1825,1516,43,27
"2024","Januar","Vaz/Obervaz",16,861,1905,13573,38707,19709,74,66
"2024","Januar","Surses",15,341,791,4546,10680,5383,51,44
"2024","Januar","Poschiavo",18,231,490,1805,2858,1695,24,19
"2024","Januar","Laax",9,654,2069,7772,38218,13622,67,60
"2024","Januar","Vals",12,245,501,3677,7662,4130,55,50
"2024","Januar","Lumnezia",8,65,152,596,1627,815,42,36
"2024","Januar","Ilanz/Glion",5,102,179,856,1658,1106,36,31
"2024","Januar","Rheinwald",6,89,193,721,1531,908,33,26
"2024","Januar","Flims",18,682,1441,8189,25222,14287,68,56
"2024","Januar","Zernez",10,255,524,2023,4903,2952,40,32
"2024","Januar","Samnaun",30,621,1304,6690,26102,14310,74,65
"2024","Januar","Scuol",34,914,1933,8910,29882,15996,58,51
"2024","Januar","Celerina/Schlarigna",8,410,805,4321,14717,8797,69,59
"2024","Januar","Pontresina",21,1168,2461,13627,47569,27542,76,62
"2024","Januar","Samedan",8,161,343,2007,4694,2530,51,44
"2024","Januar","St. Moritz",34,2634,5009,27868,104847,59729,73,68
"2024","Januar","Bregaglia",12,265,616,1590,5121,2598,32,27
"2024","Januar","Val Müstair",14,201,430,1105,3260,1893,31,25
"2024","Januar","Davos",59,3533,7012,39452,112019,70804,65,52
"2024","Januar","Klosters",23,635,1400,7039,21490,11616,59,50
"2024","Januar","Chur",16,557,1067,9687,15774,10691,62,48
"2024","Januar","Arosa",41,1785,3527,20858,73012,38799,70,67
"2024","Januar","Maienfeld",5,124,242,1248,2350,1596,44,33
"2024","Januar","Breil/Brigels",11,193,421,1950,5607,3107,52,43
"2024","Januar","Tujetsch",10,167,490,1959,7198,2915,58,48
"2024","Januar","Aarau",4,134,222,1232,1963,1542,38,29
"2024","Januar","Baden",9,461,765,3868,7327,6087,43,31
"2024","Januar","Lenzburg",3,113,189,1092,1899,1682,49,33
"2024","Januar","Rheinfelden",3,75,123,817,2115,1135,49,55
"2024","Januar","Zofingen",3,97,160,590,1258,1034,34,25
"2024","Januar","Arbon",6,150,307,900,1408,1009,24,16
"2024","Januar","Frauenfeld",5,167,320,894,2159,1906,42,25
"2024","Januar","Kreuzlingen",6,150,295,638,1443,1079,23,16
"2024","Januar","Bellinzona",15,399,827,2466,4005,3084,27,17
"2024","Januar","Ascona",15,586,1225,1987,5180,3330,21,17
"2024","Januar","Locarno",17,572,1185,4146,8171,5620,36,25
"2024","Januar","Muralto",11,252,493,1748,3128,1974,25,20
"2024","Januar","Lugano",29,1287,2340,8888,17027,11860,31,24
"2024","Januar","Paradiso",9,518,1123,5006,8709,5682,35,25
"2024","Januar","Collina d'Oro",4,83,170,121,421,299,12,8
"2024","Januar","Monteceneri",4,38,71,84,156,95,8,7
"2024","Januar","Chiasso",3,109,246,1212,1892,1094,32,25
"2024","Januar","Mendrisio",8,192,402,1175,1828,1413,24,15
"2024","Januar","Leysin",5,454,1442,8047,20637,6244,49,49
"2024","Januar","Ollon",10,516,1102,6825,15305,7963,50,45
"2024","Januar","Ormont-Dessus",5,230,461,2450,5591,3393,48,39
"2024","Januar","Bullet",4,85,191,709,1741,1096,42,29
"2024","Januar","Lausanne",34,3145,5770,24420,46884,35519,37,27
"2024","Januar","Bourg-en-Lavaux",4,88,161,780,1039,837,44,30
"2024","Januar","Morges",7,230,502,1312,3807,2573,38,26
"2024","Januar","Nyon",8,335,697,2138,3960,3439,37,20
"2024","Januar","Château-d'Oex",4,95,175,885,1905,1318,45,35
"2024","Januar","Le Chenit",6,137,288,1215,1756,1175,28,20
"2024","Januar","Montreux",16,1230,2273,9663,17391,11135,30,25
"2024","Januar","Vevey",11,404,652,2455,4648,3580,29,24
"2024","Januar","Blonay - Saint-Légier",4,154,312,1208,1802,1255,28,20
"2024","Januar","Yverdon-les-Bains",6,302,603,2204,3474,2438,27,20
"2024","Januar","Brig-Glis",13,510,1101,5496,12432,8369,53,37
"2024","Januar","Nendaz",8,133,266,2283,4737,2598,63,58
"2024","Januar","Orsières",16,250,660,1381,2625,1423,21,14
"2024","Januar","Val de Bagnes",25,675,1458,9480,26102,14368,69,58
"2024","Januar","Goms",12,210,418,2739,7479,4488,69,58
"2024","Januar","Evolène",12,190,403,1689,3461,1870,35,30
"2024","Januar","Leukerbad",26,792,1538,10456,23595,12323,50,49
"2024","Januar","Martigny",7,345,623,2813,4566,3378,34,26
"2024","Januar","Champéry",12,347,696,3184,8850,5299,49,41
"2024","Januar","Saint-Maurice",3,90,156,593,1070,873,36,25
"2024","Januar","Sierre",5,138,274,1141,1721,1039,24,20
"2024","Januar","Anniviers",23,544,1381,7456,23093,11386,72,58
"2024","Januar","Crans-Montana",27,984,2173,11264,29305,16105,53,44
"2024","Januar","Sion",6,329,636,4465,6527,4578,45,33
"2024","Januar","Saas-Fee",30,728,1578,8474,26581,14585,65,54
"2024","Januar","Saas-Grund",13,268,563,3222,7657,4290,55,47
"2024","Januar","Visp",4,132,259,1728,2997,2304,61,42
"2024","Januar","Zermatt",107,3607,7431,50830,176937,89837,80,77
"2024","Januar","La Grande Béroche",4,51,95,367,703,559,35,24
"2024","Januar","La Chaux-de-Fonds",7,215,361,1106,1948,1516,23,17
