slug,name,canton,tourism_region,lat,lon,center_lat,center_lon,main_station_name,place_type,active,name_original,main_station_name_original,station_id,station_api_name,station_api_id,station_api_status
monteceneri,Monteceneri,TI,Ticino,46.12081,8.921429,46.12081,8.921429,Lugano Stazione (funicolare),town,true,Monteceneri,Lugano Stazione (funicolare),8530462,Lugano Stazione (funicolare),8530462,OK
muralto,Muralto,TI,Ticino,46.174215,8.804576,46.174215,8.804576,"Muralto, Al Parco",resort,true,Muralto,"Muralto, Al Parco",8587845,"Muralto, Al Parco",8587845,OK
paradiso,Paradiso,TI,Ticino,45.989443,8.945127,45.989443,8.945127,Paradiso,town,true,Paradiso,Paradiso,8505301,Paradiso,8505301,OK
andermatt,Andermatt,UR,Uri,46.63553,8.596354,46.63553,8.596354,Andermatt,resort,true,Andermatt,Andermatt,8505165,Andermatt,8505165,OK
gurtnellen,Gurtnellen,UR,Uri,46.73752,8.626415,46.73752,8.626415,"Gurtnellen, Fellital",town,true,Gurtnellen,"Gurtnellen, Fellital",8587428,"Gurtnellen, Fellital",8587428,OK
blonay-saint-legier,Blonay - Saint-Légier,VD,Vaud,46.466521,6.894627,46.466521,6.894627,Blonay,town,true,Blonay - Saint-Légier,Blonay,8501281,Blonay,8501281,OK
bourg-en-lavaux,Bourg-en-Lavaux,VD,Vaud,46.499852,6.720381,46.499852,6.720381,Grandvaux,town,true,Bourg-en-Lavaux,Grandvaux,8504011,Grandvaux,8504011,OK
bullet,Bullet,VD,Vaud,46.831505,6.554121,46.831505,6.554121,"Bullet, village",town,true,Bullet,"Bullet, village",8504272,"Bullet, village",8504272,OK
chateau-doex,Château-d'Oex,VD,Vaud,46.475016,7.136248,46.475016,7.136248,Château-d'Oex,town,true,Château-d'Oex,Château-d'Oex,8501394,Château-d'Oex,8501394,OK
lausanne,Lausanne,VD,Vaud,46.520577,6.63189,46.520577,6.63189,Lausanne,city,true,Lausanne,Lausanne,8501120,Lausanne,8501120,OK
le-chenit,Le Chenit,VD,Vaud,46.585188,6.209346,46.585188,6.209346,Le Brassus,town,true,Le Chenit,Le Brassus,8501159,Le Brassus,8501159,OK
leysin,Leysin,VD,Vaud,46.344673,7.014407,46.344673,7.014407,Leysin (station aval),town,true,Leysin,Leysin (station aval),8501467,Leysin (station aval),8501467,OK
montreux,Montreux,VD,Vaud,46.434843,6.912927,46.434843,6.912927,Montreux,city,true,Montreux,Montreux,8501300,Montreux,8501300,OK
morges,Morges,VD,Vaud,46.513374,6.495735,46.513374,6.495735,Morges,town,true,Morges,Morges,8501037,Morges,8501037,OK
nyon,Nyon,VD,Vaud,46.385086,6.232215,46.385086,6.232215,Nyon,city,true,Nyon,Nyon,8501030,Nyon,8501030,OK
ollon,Ollon,VD,Vaud,46.293439,6.995004,46.293439,6.995004,"Ollon VD, gare",town,true,Ollon,"Ollon VD, gare",8570607,"Ollon VD, gare",8570607,OK
ormont-dessus,Ormont-Dessus,VD,Vaud,46.357052,7.121797,46.357052,7.121797,Leysin (station aval),town,true,Ormont-Dessus,Leysin (station aval),8501467,Leysin (station aval),8501467,OK
vevey,Vevey,VD,Vaud,46.462975,6.847603,46.462975,6.847603,Vevey,city,true,Vevey,Vevey,8501200,Vevey,8501200,OK
yverdon-les-bains,Yverdon-les-Bains,VD,Vaud,46.778058,6.640482,46.778058,6.640482,Yverdon-les-Bains,city,true,Yverdon-les-Bains,Yverdon-les-Bains,8504200,Yverdon-les-Bains,8504200,OK
anniviers,Anniviers,VS,Valais,46.271543,7.55185,46.271543,7.55185,"Vercorin, Rte d'Anniviers",town,true,Anniviers,"Vercorin, Rte d'Anniviers",8511681,"Vercorin, Rte d'Anniviers",8511681,OK
brig-glis,Brig-Glis,VS,Valais,46.304498,7.95353,46.304498,7.95353,Brig Bahnhofplatz,town,true,Brig-Glis,Brig Bahnhofplatz,8515296,Brig Bahnhofplatz,8515296,OK
champery,Champéry,VS,Valais,46.175753,6.868336,46.175753,6.868336,Champéry,resort,true,Champéry,Champéry,8501448,Champéry,8501448,OK
crans-montana,Crans-Montana,VS,Valais,46.310865,7.484377,46.310865,7.484377,Crans-Montana gare,resort,true,Crans-Montana,Crans-Montana gare,8501596,Crans-Montana gare,8501596,OK
evolene,Evolène,VS,Valais,46.113947,7.494433,46.113947,7.494433,"Evolène, Village",town,true,Evolène,"Evolène, Village",8582967,"Evolène, Village",8582967,OK
goms,Goms,VS,Valais,46.486791,8.264346,46.486791,8.264346,Biel (Goms),town,true,Goms,Biel (Goms),8501668,Biel (Goms),8501668,OK
leukerbad,Leukerbad,VS,Valais,46.379686,7.628228,46.379686,7.628228,Leukerbad (Talstation Gemmi),resort,true,Leukerbad,Leukerbad (Talstation Gemmi),8501643,Leukerbad (Talstation Gemmi),8501643,OK
martigny,Martigny,VS,Valais,46.102927,7.074925,46.102927,7.074925,Martigny,town,true,Martigny,Martigny,8501500,Martigny,8501500,OK
nendaz,Nendaz,VS,Valais,46.187234,7.344007,46.187234,7.344007,"Haute-Nendaz, station/poste",town,true,Nendaz,"Haute-Nendaz, station/poste",8501858,"Haute-Nendaz, station/poste",8501858,OK
orsieres,Orsières,VS,Valais,46.029276,7.144226,46.029276,7.144226,Orsières,town,true,Orsières,Orsières,8501578,Orsières,8501578,OK
saas-fee,Saas-Fee,VS,Valais,46.109798,7.928143,46.109798,7.928143,Saas-Fee (Hannig),resort,true,Saas-Fee,Saas-Fee (Hannig),8530807,Saas-Fee (Hannig),8530807,OK
saas-grund,Saas-Grund,VS,Valais,46.126595,7.938074,46.126595,7.938074,Saas-Grund (Hohsaas Talst.),town,true,Saas-Grund,Saas-Grund (Hohsaas Talst.),8530227,Saas-Grund (Hohsaas Talst.),8530227,OK
saint-maurice,Saint-Maurice,VS,Valais,46.206152,7.006355,46.206152,7.006355,St-Triphon-Gare,town,true,Saint-Maurice,St-Triphon-Gare,8501452,St-Triphon-Gare,8501452,OK
sierre,Sierre,VS,Valais,46.292242,7.531935,46.292242,7.531935,"Sierre, Hôtel de Ville/gare",town,true,Sierre,"Sierre, Hôtel de Ville/gare",8594615,"Sierre, Hôtel de Ville/gare",8594615,OK
sion,Sion,VS,Valais,46.231422,7.358421,46.231422,7.358421,Sion,city,true,Sion,Sion,8501506,Sion,8501506,OK
val-de-bagnes,Val de Bagnes,VS,Valais,46.088049,7.126247,46.088049,7.126247,"Sembrancher, gare",town,true,Val de Bagnes,"Sembrancher, gare",8570672,"Sembrancher, gare",8570672,OK
visp,Visp,VS,Valais,46.293144,7.881463,46.293144,7.881463,Visp,town,true,Visp,Visp,8501605,Visp,8501605,OK
zermatt,Zermatt,VS,Valais,46.018858,7.748781,46.018858,7.748781,Zermatt,town,true,Zermatt,Zermatt,8501689,Zermatt,8501689,OK
unteraegeri,Unterägeri,ZG,Zug,47.136004,8.580519,47.136004,8.580519,Unterägeri (See),town,true,Unterägeri,Unterägeri (See),8530742,Unterägeri (See),8530742,OK
zug,Zug,ZG,Zug,47.170798,8.517283,47.170798,8.517283,Zug,city,true,Zug,Zug,8502204,Zug,8502204,OK
duebendorf,Dübendorf,ZH,Zürich,47.397189,8.620653,47.397189,8.620653,Dübendorf,town,true,Dübendorf,Dübendorf,8503128,Dübendorf,8503128,OK
horgen,Horgen,ZH,Zürich,47.255147,8.60077,47.255147,8.60077,Horgen,town,true,Horgen,Horgen,8503204,Horgen,8503204,OK
kloten,Kloten,ZH,Zürich,47.454029,8.584027,47.454029,8.584027,Kloten,town,true,Kloten,Kloten,8503308,Kloten,8503308,OK
opfikon,Opfikon,ZH,Zürich,47.428053,8.577503,47.428053,8.577503,Opfikon,town,true,Opfikon,Opfikon,8503340,Opfikon,8503340,OK
uster,Uster,ZH,Zürich,47.348565,8.718168,47.348565,8.718168,Uster,town,true,Uster,Uster,8503125,Uster,8503125,OK
winterthur,Winterthur,ZH,Zürich,47.50076,8.725972,47.50076,8.725972,Winterthur,city,true,Winterthur,Winterthur,8506000,Winterthur,8506000,OK
waedenswil,Wädenswil,ZH,Zürich,47.226101,8.668265,47.226101,8.668265,Wädenswil,town,true,Wädenswil,Wädenswil,8503206,Wädenswil,8503206,OK
zuerich,Zürich,ZH,Zürich,47.372309,8.542454,47.372309,8.542454,Zürich HB,city,true,Zürich,Zürich HB,8503000,Zürich HB,8503000,OK
